# JLPT 词汇级别表 —— server/scripts/buildJlptVocab.ts 生成，勿手改。
# 出題基準語彙表 https://www7a.biglobe.ne.jp/nifongo/data/noryoku.html
# JLPT Resources by Jonathan Waller (CC BY) http://www.tanos.co.uk/jlpt/
#   词形经 https://github.com/stephenmk/yomitan-jlpt-vocab 按 JMdict 校正
三日月	12
三角	2
上	235
上がり	1
上がる	14
上げる	5
上り	2
上る	24
上下	12
上京	23
上位	1
上司	1
上品	2
上回る	1
上手	15
上手い	4
上旬	2
上昇	1
上演	1
上着	5
上空	1
上等	23
上級	2
上達	23
上陸	1
下	235
下がる	14
下げる	4
下さい	5
下さる	34
下す	3
下らない	12
下り	23
下りる	4
下る	24
下ろす	2
下位	1
下取り	1
下吏	1
下品	2
下地	1
下宿	4
下宿する	4
下心	1
下手	5
下旬	2
下書き	2
下水	2
下火	1
下町	2
下番	1
下痢	1
下着	4
下線	2
下調べ	1
下車	2
下降	2
下駄	2
不	23
不便	14
不利	23
不動産	1
不可	23
不可欠	1
不吉	1
不味い	5
不図	3
不在	1
不安	23
不審	1
不平	23
不幸	23
不当	1
不思議	23
不意	1
不振	1
不明	1
不景気	1
不服	1
不正	23
不況	1
不満	23
不潔	2
不自由	23
不良	1
不規則	2
不評	1
不調	1
不足	23
不通	2
不運	2
不順	1
与える	23
与党	1
且	1
且つ	1
世	1
世の中	23
世代	1
世帯	1
世界	4
世紀	23
世話	4
世話する	4
世論	1
世辞	1
世間	23
丘	23
丘陵	1
両	2
両側	2
両方	4
両替	23
両極	1
両立	1
両親	5
並	1
並びに	1
並ぶ	5
並べる	5
並み	1
並列	1
並木	2
並行	12
中	235
中々	4
中っ腹	1
中世	2
中傷	1
中古	23
中味	2
中和	1
中央	23
中学	23
中学校	4
中年	2
中心	23
中性	2
中指	12
中断	1
中旬	2
中枢	1
中止	34
中止する	4
中毒	1
中程	1
中立	1
中継	1
中腹	1
中身	2
中途	2
中間	2
丸	23
丸々	1
丸い	5
丸ごと	1
丸っきり	1
丸で	1
丸める	1
丸円	2
主	1
主な	2
主に	23
主人	24
主人公	1
主任	1
主体	1
主催	1
主婦	23
主導	1
主張	23
主役	2
主権	1
主演	1
主義	23
主要	23
主観	1
主語	2
主題	1
主食	1
丼	2
乃至	1
久しい	1
久しぶり	4
久し振り	1
乍ら	5
乏しい	1
乗せる	23
乗っ取る	1
乗り換え	12
乗り換える	4
乗り物	4
乗り越し	2
乗り込む	1
乗る	5
乗客	123
乗換	2
乗車	2
乙	1
九	5
九つ	5
九日	5
乱す	1
乱れ	1
乱れる	1
乱暴	2
乳	1
乾	1
乾かす	2
乾く	4
乾杯	2
乾燥	2
乾電池	2
了	1
了承	1
了解	1
予て	1
予め	1
予備	2
予報	23
予定	4
予想	1
予感	1
予期	23
予測	23
予算	23
予約	4
予習	4
予言	1
予防	23
争い	1
争う	2
事	34
事によると	1
事に依ると	1
事件	23
事前	12
事務	23
事務所	4
事実	13
事情	23
事態	23
事故	4
事柄	1
事業	1
事項	1
二	5
二つ	5
二人	15
二十	3
二十日	5
二十歳	5
二日	5
二階建て	4
云々	1
互い	23
五	5
五つ	5
五十音	2
五日	5
五月蝿い	1
井戸	2
些とも	1
些事	1
亜	2
亜爾加里	1
亜科	1
亡くす	2
亡くなる	4
交える	1
交ざる	2
交じる	2
交ぜる	2
交わす	1
交わる	1
交互	1
交付	1
交代	1
交差	2
交差点	5
交換	23
交易	1
交替	2
交流	2
交渉	1
交番	5
交通	4
交通機関	2
交際	23
享受	1
人	15
人事	2
人体	1
人口	4
人命	2
人工	23
人差し指	2
人差指	2
人形	4
人影	1
人情	1
人文科学	2
人材	1
人柄	1
人格	1
人民	1
人気	123
人物	23
人生	23
人目	1
人種	23
人質	1
人込み	23
人通り	2
人造	2
人間	23
人類	23
今	25
今に	23
今にも	23
今回	23
今夜	4
今年	5
今度	24
今後	23
今日	235
今日は	15
今晩	5
今晩は	15
今更	1
